ID,B,C,Value
Lower Moreland Township SD,Blended,8/31/2020,District Plan
Highlands SD,Blended,8/27/2020,District Plan
Hollidaysburg Area SD,In-Person,8/26/2020,District Plan
Homer-Center SD,In-Person,8/31/2020,District Plan
Hopewell Area SD,Blended,9/8/2020,District Plan
Huntingdon Area SD,In-Person,8/27/2020,District Plan
Indiana Area SD,Blended,9/8/2020,District Plan
Loyalsock Township SD,In-Person,8/31/2020,District Plan
Owen J Roberts SD,Remote,9/8/2020,District Plan
Oxford Area SD,Blended,8/31/2020,District Plan
Palisades SD,In-Person,9/1/2020,District Plan
Morrisville Borough SD,Remote,9/8/2020,District Plan
Greensburg Salem SD,Blended,9/8/2020,District Plan
Mohawk Area SD,Blended,8/31/2020,District Plan
Hatboro-Horsham SD,Blended,9/8/2020,District Plan
Palmerton Area SD,Blended,9/8/2020,District Plan
Palmyra Area SD,Blended,8/31/2020,District Plan
Haverford Township SD,Remote,8/31/2020,District Plan
Hazleton Area SD,Blended,9/8/2020,District Plan
Hempfield SD,In-Person,8/25/2020,District Plan
Hempfield Area SD,Blended,8/27/2020,District Plan
Hermitage SD,In-Person,8/25/2020,District Plan
Panther Valley SD,In-Person,9/8/2020,District Plan
Interboro SD,Remote,9/17/2020,District Plan
Iroquois SD,In-Person,9/8/2020,District Plan
Jamestown Area SD,Remote,8/26/2020,District Plan
New Brighton Area SD,Blended,8/31/2020,District Plan
Jeannette City SD,In-Person,8/27/2020,District Plan
Mars Area SD,In-Person,8/31/2020,District Plan
McGuffey SD,Blended,8/27/2020,District Plan
Mt Lebanon SD,Remote,8/31/2020,District Plan
Mount Pleasant Area SD,In-Person,8/26/2020,District Plan
Muhlenberg SD,Remote,8/31/2020,District Plan
Muncy SD,In-Person,8/31/2020,District Plan
Mifflin County SD,In-Person,8/26/2020,District Plan
Mifflinburg Area SD,In-Person,9/8/2020,District Plan
Millcreek Township SD,Blended,9/8/2020,District Plan
Nazareth Area SD,Blended,8/31/2020,District Plan
Neshaminy SD,Remote,Sep 8,District Plan
Northern Bedford County SD,Blended,9/14/2020,District Plan
Otto-Eldred SD,In-Person,8/26/2020,District Plan
Northern Cambria SD,Blended,9/8/2020,District Plan
Neshannock Township SD,Blended,9/8/2020,District Plan
Moniteau SD,In-Person,9/8/2020,District Plan
New Castle Area SD,Remote,8/31/2020,District Plan
Northampton Area SD,Blended,8/31/2020,District Plan
Northeast Bradford SD,Blended,8/31/2020,District Plan
New Kensington-Arnold SD,In-Person,9/8/2020,District Plan
Marple Newtown SD,Remote,9/8/2020,District Plan
